deal No,dummy,dummy,dateTime,The number of Product A bought ,The number of Product B bought 
341,-,-,05 September 2021,59 ,83 
342,-,-,05 October 2021,73 ,162 
343,-,-,5/14/2021,65 ,14 
344,-,-,5/15/2021,51 ,4 
345,-,-,5/16/2021,0 ,0 
346,-,-,5/21/2021,1 ,0 
347,-,-,5/22/2021,40 ,3 
348,-,-,5/23/2021,0 ,0 
349,-,-,5/29/2021,18 ,21 
350,-,-,5/30/2021,0 ,0 
351,-,-,05 April 2021,24 ,7 
352,-,-,05 May 2021,33 ,1 
353,-,-,5/13/2021,52 ,20 
354,-,-,5/14/2021,44 ,2 
355,-,-,5/19/2021,32 ,11 
356,-,-,5/20/2021,4 ,1 
357,-,-,5/27/2021,20 ,4 
358,-,-,5/28/2021,1 ,1 
359,-,-,5/29/2021,0 ,0 
360,-,-,05 February 2021,33 ,22 
361,-,-,05 August 2021,48 ,6 
362,-,-,05 September 2021,86 ,6 
363,-,-,5/15/2021,61 ,4 
364,-,-,5/16/2021,129 ,13 
365,-,-,5/17/2021,31 ,2 
366,-,-,5/23/2021,54 ,2 
367,-,-,5/29/2021,9 ,1 
368,-,-,5/30/2021,32 ,0 
369,-,-,05 May 2021,36 ,16 
370,-,-,5/13/2021,9 ,7 
371,-,-,5/14/2021,19 ,1 
372,-,-,5/15/2021,0 ,0 
373,-,-,5/17/2021,69 ,9 
374,-,-,5/18/2021,55 ,12 
375,-,-,5/19/2021,72 ,6 
376,-,-,5/20/2021,0 ,0 
377,-,-,5/25/2021,23 ,2 
378,-,-,5/31/2021,2 ,1 
379,-,-,05 February 2021,2 ,1 
380,-,-,05 March 2021,13 ,1 
381,-,-,05 September 2021,5 ,5 
382,-,-,05 October 2021,0 ,0 
383,-,-,5/16/2021,28 ,4 
384,-,-,5/17/2021,42 ,3 
385,-,-,5/24/2021,46 ,7 
386,-,-,05 May 2021,32 ,4 
387,-,-,05 December 2021,1 ,0 
388,-,-,5/13/2021,21 ,2 
389,-,-,5/19/2021,114 ,8 
390,-,-,5/20/2021,111 ,9 
391,-,-,5/21/2021,1 ,0 
392,-,-,5/28/2021,27 ,3 
393,-,-,05 July 2021,30 ,1 
394,-,-,05 August 2021,135 ,9 
395,-,-,5/14/2021,0 ,0 
396,-,-,5/21/2021,8 ,0 
397,-,-,5/22/2021,54 ,4 
398,-,-,05 February 2021,30 ,2 
399,-,-,05 March 2021,62 ,6 
400,-,-,05 September 2021,14 ,3 
401,-,-,05 October 2021,5 ,1 
402,-,-,5/17/2021,16 ,4 
403,-,-,5/18/2021,64 ,18 
404,-,-,5/30/2021,17 ,6 
405,-,-,5/31/2021,62 ,6 
406,-,-,5/17/2021,24 ,9 
407,-,-,5/18/2021,45 ,15 
408,-,-,5/19/2021,29 ,2 
409,-,-,5/20/2021,3 ,1 
410,-,-,5/26/2021,24 ,8 
411,-,-,5/27/2021,35 ,11 
412,-,-,05 January 2021,51 ,9 
413,-,-,05 February 2021,25 ,13 
414,-,-,05 September 2021,38 ,3 
415,-,-,05 October 2021,59 ,15 
416,-,-,05 November 2021,87 ,10 
417,-,-,05 December 2021,61 ,4 
418,-,-,5/15/2021,28 ,6 
419,-,-,5/24/2021,135 ,14 
420,-,-,5/25/2021,13 ,1 
421,-,-,5/30/2021,10 ,2 
422,-,-,5/31/2021,0 ,1 
423,-,-,05 March 2021,29 ,3 
424,-,-,05 April 2021,1 ,0 
425,-,-,05 April 2021,5 ,1 
426,-,-,05 May 2021,30 ,2 
427,-,-,05 November 2021,7 ,1 
428,-,-,05 December 2021,15 ,1 
429,-,-,5/27/2021,55 ,8 
430,-,-,5/28/2021,110 ,5 
431,-,-,05 July 2021,106 ,8 
432,-,-,05 August 2021,49 ,11 
433,-,-,05 September 2021,87 ,7 
434,-,-,05 October 2021,47 ,3 
435,-,-,5/14/2021,48 ,3 
436,-,-,5/15/2021,71 ,32 
437,-,-,5/16/2021,24 ,19 
438,-,-,5/17/2021,51 ,6 
439,-,-,5/18/2021,5 ,2 
440,-,-,5/20/2021,32 ,3 
441,-,-,5/21/2021,0 ,0 
442,-,-,5/28/2021,13 ,3 
443,-,-,5/13/2021,0 ,0 
444,-,-,5/15/2021,0 ,0 
445,-,-,5/17/2021,43 ,12 
446,-,-,5/18/2021,4 ,2 
447,-,-,5/22/2021,33 ,1 
448,-,-,5/23/2021,48 ,3 
449,-,-,5/30/2021,56 ,15 
450,-,-,5/31/2021,1 ,0 
451,-,-,05 February 2021,9 ,2 
452,-,-,05 March 2021,19 ,16 
453,-,-,05 July 2021,65 ,17 
454,-,-,05 August 2021,58 ,9 
455,-,-,05 September 2021,22 ,6 
456,-,-,5/14/2021,74 ,11 
457,-,-,5/15/2021,0 ,0 
458,-,-,5/21/2021,15 ,2 
459,-,-,5/22/2021,1 ,0 
460,-,-,5/29/2021,48 ,26 
461,-,-,5/30/2021,19 ,12 
462,-,-,05 July 2021,15 ,3 
463,-,-,5/16/2021,0 ,0 
464,-,-,5/22/2021,53 ,5 
465,-,-,5/23/2021,36 ,3 
466,-,-,5/29/2021,0 ,0 
467,-,-,5/30/2021,0 ,0 
468,-,-,05 July 2021,47 ,10 
469,-,-,05 August 2021,47 ,4 
470,-,-,5/16/2021,36 ,7 
471,-,-,5/17/2021,21 ,3 
472,-,-,5/22/2021,87 ,35 
473,-,-,5/23/2021,161 ,9 
474,-,-,5/29/2021,5 ,2 
475,-,-,5/30/2021,24 ,13 
476,-,-,05 March 2021,39 ,1 
477,-,-,05 April 2021,0 ,0 
478,-,-,05 September 2021,1 ,0 
479,-,-,05 October 2021,2 ,0 
480,-,-,5/18/2021,58 ,5 
481,-,-,5/19/2021,18 ,2 
482,-,-,5/24/2021,53 ,4 
483,-,-,5/25/2021,3 ,0 
484,-,-,5/31/2021,12 ,1 
485,-,-,5/26/2021,10 ,0 
486,-,-,5/27/2021,30 ,11 
487,-,-,05 January 2021,4 ,1 
488,-,-,05 December 2021,12 ,0 
489,-,-,5/13/2021,0 ,0 
490,-,-,5/14/2021,20 ,2 
491,-,-,05 January 2021,26 ,19 
492,-,-,05 February 2021,34 ,1 
493,-,-,05 August 2021,35 ,4 
494,-,-,05 September 2021,12 ,1 
495,-,-,5/15/2021,10 ,1 
496,-,-,5/16/2021,17 ,1 
497,-,-,5/23/2021,25 ,15 
498,-,-,5/24/2021,1 ,0 
499,-,-,5/29/2021,2 ,1 
500,-,-,5/30/2021,3 ,1 
501,-,-,05 June 2021,14 ,1 
502,-,-,05 July 2021,36 ,3 
503,-,-,5/13/2021,18 ,4 
504,-,-,5/14/2021,38 ,5 
505,-,-,5/22/2021,0 ,0 
506,-,-,5/23/2021,0 ,0 
507,-,-,5/24/2021,3 ,0 
508,-,-,5/25/2021,0 ,0 
509,-,-,5/26/2021,1 ,0 
510,-,-,5/27/2021,0 ,0 
511,-,-,5/28/2021,0 ,0 
512,-,-,5/29/2021,0 ,0 
513,-,-,5/30/2021,0 ,0 
514,-,-,5/31/2021,13 ,4 
515,-,-,05 February 2021,43 ,16 
516,-,-,05 March 2021,0 ,0 
517,-,-,05 September 2021,30 ,8 
518,-,-,05 October 2021,3 ,3 
519,-,-,5/16/2021,55 ,9 
520,-,-,5/17/2021,80 ,11 
521,-,-,5/18/2021,20 ,2 
522,-,-,5/25/2021,55 ,5 
523,-,-,5/26/2021,86 ,8 
524,-,-,5/27/2021,73 ,10 
525,-,-,5/28/2021,0 ,0 
526,-,-,05 March 2021,36 ,2 
527,-,-,05 September 2021,28 ,6 
528,-,-,5/23/2021,14 ,1 
529,-,-,5/24/2021,15 ,1 
530,-,-,5/30/2021,5 ,1 
531,-,-,5/31/2021,4 ,5 
532,-,-,05 March 2021,0 ,0 
533,-,-,05 October 2021,8 ,1 
534,-,-,05 November 2021,4 ,1 
535,-,-,05 January 2021,43 ,2 
536,-,-,05 July 2021,24 ,3 
537,-,-,05 August 2021,0 ,0 
538,-,-,5/14/2021,22 ,2 
539,-,-,5/15/2021,59 ,5 
540,-,-,5/22/2021,58 ,3 
541,-,-,5/23/2021,38 ,4 
542,-,-,5/24/2021,37 ,6 
543,-,-,5/25/2021,6 ,0 
544,-,-,5/29/2021,36 ,4 
545,-,-,5/30/2021,168 ,10 
546,-,-,05 November 2021,0 ,0 
547,-,-,05 December 2021,17 ,19 
548,-,-,5/13/2021,12 ,3 
549,-,-,5/20/2021,45 ,6 
550,-,-,5/21/2021,2 ,0 
551,-,-,05 June 2021,11 ,2 
552,-,-,5/14/2021,119 ,17 
553,-,-,05 February 2021,4 ,1 
554,-,-,05 March 2021,54 ,30 
555,-,-,05 September 2021,87 ,10 
556,-,-,05 October 2021,135 ,35 
557,-,-,05 November 2021,304 ,35 
558,-,-,05 December 2021,144 ,26 
559,-,-,5/16/2021,105 ,54 
560,-,-,5/17/2021,56 ,3 
561,-,-,5/24/2021,1 ,0 
562,-,-,5/25/2021,4 ,1 
563,-,-,5/31/2021,34 ,14 
564,-,-,05 March 2021,0 ,0 
565,-,-,05 April 2021,0 ,0 
566,-,-,05 November 2021,44 ,5 
567,-,-,05 December 2021,34 ,2 
568,-,-,5/16/2021,34 ,1 
569,-,-,5/28/2021,11 ,1 
570,-,-,5/29/2021,3 ,0 
571,-,-,05 April 2021,53 ,3 
572,-,-,05 May 2021,5 ,1 
573,-,-,5/13/2021,32 ,4 
574,-,-,5/14/2021,3 ,0 
575,-,-,5/18/2021,16 ,1 
576,-,-,5/19/2021,1 ,0 
577,-,-,5/27/2021,37 ,2 
578,-,-,5/28/2021,41 ,8 
579,-,-,05 January 2021,0 ,0 
580,-,-,05 June 2021,35 ,6 
581,-,-,05 July 2021,35 ,3 
582,-,-,5/13/2021,36 ,17 
583,-,-,5/20/2021,26 ,12 
584,-,-,5/28/2021,66 ,5 
585,-,-,5/29/2021,39 ,2 
586,-,-,05 May 2021,9 ,2 
587,-,-,05 June 2021,32 ,23 
588,-,-,5/13/2021,35 ,2 
589,-,-,5/14/2021,73 ,8 
590,-,-,5/21/2021,30 ,1 
591,-,-,5/22/2021,23 ,1 
592,-,-,5/28/2021,26 ,8 
593,-,-,05 January 2021,50 ,20 
594,-,-,05 February 2021,0 ,0 
595,-,-,05 August 2021,11 ,1 
596,-,-,05 September 2021,49 ,6 
597,-,-,05 October 2021,67 ,6 
598,-,-,05 November 2021,54 ,4 
599,-,-,5/16/2021,51 ,4 
600,-,-,5/23/2021,35 ,10 
601,-,-,5/24/2021,9 ,1 
602,-,-,5/30/2021,7 ,1 
603,-,-,05 March 2021,59 ,9 
604,-,-,05 April 2021,105 ,23 
605,-,-,05 May 2021,76 ,7 
606,-,-,05 June 2021,81 ,9 
607,-,-,05 July 2021,48 ,4 
608,-,-,05 December 2021,13 ,3 
609,-,-,5/13/2021,15 ,7 
610,-,-,5/19/2021,21 ,27 
611,-,-,5/20/2021,13 ,1 
612,-,-,5/26/2021,4 ,2 
613,-,-,5/27/2021,6 ,1 
614,-,-,5/17/2021,38 ,2 
615,-,-,5/18/2021,177 ,14 
616,-,-,5/20/2021,20 ,2 
617,-,-,5/21/2021,0 ,0 
618,-,-,5/27/2021,34 ,4 
619,-,-,5/28/2021,1 ,0 
620,-,-,05 June 2021,25 ,23 
621,-,-,5/13/2021,39 ,9 
622,-,-,5/14/2021,8 ,5 
623,-,-,5/22/2021,44 ,3 
624,-,-,5/23/2021,31 ,1 
625,-,-,5/28/2021,35 ,1 
626,-,-,05 June 2021,60 ,3 
627,-,-,5/13/2021,25 ,2 
628,-,-,5/20/2021,52 ,3 
629,-,-,5/21/2021,97 ,6 
630,-,-,5/27/2021,1 ,0 
631,-,-,5/28/2021,46 ,6 
632,-,-,05 June 2021,28 ,8 
633,-,-,05 July 2021,58 ,6 
634,-,-,5/13/2021,31 ,20 
635,-,-,5/14/2021,16 ,8 
636,-,-,5/21/2021,14 ,2 
637,-,-,5/22/2021,0 ,0 
638,-,-,5/28/2021,36 ,4 
639,-,-,5/29/2021,32 ,5 
640,-,-,5/30/2021,7 ,1 
641,-,-,05 February 2021,35 ,3 
642,-,-,05 March 2021,11 ,0 
643,-,-,05 September 2021,9 ,3 
644,-,-,5/15/2021,24 ,9 
645,-,-,5/16/2021,92 ,35 
646,-,-,5/17/2021,7 ,4 
647,-,-,5/23/2021,16 ,1 
648,-,-,5/24/2021,47 ,8 
649,-,-,05 March 2021,13 ,1 
650,-,-,05 April 2021,44 ,4 
651,-,-,05 August 2021,86 ,28 
652,-,-,05 September 2021,54 ,4 
653,-,-,5/15/2021,36 ,2 
654,-,-,5/16/2021,0 ,0 
655,-,-,5/22/2021,14 ,1 
656,-,-,5/23/2021,17 ,1 
657,-,-,5/29/2021,0 ,0 
658,-,-,5/30/2021,32 ,1 
659,-,-,05 May 2021,62 ,28 
660,-,-,05 June 2021,32 ,6 
661,-,-,05 December 2021,6 ,3 
662,-,-,5/13/2021,66 ,5 
663,-,-,5/21/2021,6 ,2 
664,-,-,5/22/2021,0 ,0 
665,-,-,5/28/2021,22 ,9 
666,-,-,5/29/2021,33 ,21 
667,-,-,05 July 2021,12 ,14 
668,-,-,05 August 2021,42 ,3 
669,-,-,5/14/2021,30 ,2 
670,-,-,5/15/2021,19 ,1 
671,-,-,5/22/2021,28 ,4 
672,-,-,5/23/2021,58 ,35 
673,-,-,5/24/2021,4 ,1 
674,-,-,5/29/2021,36 ,5 
675,-,-,5/30/2021,31 ,2 
676,-,-,05 May 2021,15 ,3 
677,-,-,5/14/2021,32 ,9 
678,-,-,5/15/2021,132 ,40 
679,-,-,5/16/2021,145 ,9 
680,-,-,5/17/2021,64 ,2 
681,-,-,5/19/2021,3 ,1 
682,-,-,5/27/2021,4 ,2 
683,-,-,05 January 2021,95 ,13 
684,-,-,05 February 2021,45 ,5 
685,-,-,05 August 2021,30 ,5 
686,-,-,05 September 2021,25 ,3 
687,-,-,5/15/2021,16 ,6 
688,-,-,5/16/2021,25 ,11 
689,-,-,5/23/2021,110 ,30 
690,-,-,5/24/2021,25 ,1 
691,-,-,5/30/2021,36 ,4 
692,-,-,05 June 2021,0 ,0 
693,-,-,05 July 2021,32 ,11 
694,-,-,5/13/2021,21 ,8 
695,-,-,5/19/2021,68 ,2 
696,-,-,5/20/2021,36 ,4 
